"index","Familie","Gattung","Art","D_1__Actinobacteria","D_1__Bacteroidetes","D_1__Chloroflexi","D_1__Euryarchaeota","D_1__Fibrobacteres","D_1__Firmicutes","D_1__Patescibacteria","D_1__Proteobacteria","D_1__Spirochaetes","D_1__Synergistetes","D_1__Verrucomicrobia","D_1__Fusobacteria","D_1__Epsilonbacteraeota","D_1__Planctomycetes","D_1__Tenericutes","D_1__WPS-2","D_1__Elusimicrobia","D_1__Cyanobacteria","D_1__Lentisphaerae","D_1__Excavata","D_1__Deferribacteres","D_1__Acidobacteria","D_1__Opisthokonta"
"OPE1807EISF5","Canidae","Vulpes","Eisfuchs",0,3580,0,0,0,1702,0,826,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0
"OPE1807EISF6","Canidae","Vulpes","Eisfuchs",0,3147,0,0,0,912,0,494,0,0,0,1532,0,0,0,0,0,0,0,0,0,0,0
"OPE1807GEPA1","Felidae","Acinonyx","Gepard",0,5552,0,0,0,13721,0,276,0,0,0,8263,1105,0,0,0,0,0,0,0,0,0,0
"OPE1807GEPA2","Felidae","Acinonyx","Gepard",0,712,0,0,0,4978,0,580,0,0,0,2077,21,0,0,0,0,0,0,0,0,0,0
"OPE1807LOEF1","Canidae","Otocyon","Loeffelhund",0,461,0,0,0,5018,0,6403,0,0,0,105,200,0,0,0,0,0,0,0,0,0,0
"OPE1807LOEF2","Canidae","Otocyon","Loeffelhund",0,952,0,0,0,1662,0,2802,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0
"OPE1807LOEF3","Canidae","Otocyon","Loeffelhund",0,4690,0,0,0,1024,0,1062,0,0,0,2894,206,0,0,0,0,0,0,0,0,0,0
"OPE1807PAND1","Ailuridae","Ailurus","Roter_Panda",0,0,0,0,0,6671,0,164,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1807PAND2","Ailuridae","Ailurus","Roter_Panda",0,44,0,0,0,12247,0,0,0,0,0,0,1553,0,0,0,0,0,0,0,0,0,0
"OPE2507EISF10","Canidae","Vulpes","Eisfuchs",0,5657,0,0,0,1271,0,529,0,0,0,2427,0,0,0,0,0,0,0,0,0,0,0
"OPE2507EISF11","Canidae","Vulpes","Eisfuchs",0,987,0,0,0,307,0,21,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0
"OPE2507EISF12","Canidae","Vulpes","Eisfuchs",0,2716,0,0,0,2119,0,338,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0
"OPE2507EISF7","Canidae","Vulpes","Eisfuchs",0,1163,0,0,0,19,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0
